Condition_rows,NumberLetter,corrAns,StimFile,ImgType,ArrowImg,False_StimFile,DurationTrial,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,Cued.thisRepN,Cued.thisTrialN,Cued.thisN,Cued.thisIndex,Uncued.thisRepN,Uncued.thisTrialN,Uncued.thisN,Uncued.thisIndex,text.started,text.stopped,key_resp_0.keys,key_resp_0.rt,key_resp_0.started,key_resp_0.stopped,polygon.started,polygon.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.started,key_resp_1.stopped,image.started,image.stopped,Arrow.started,Arrow.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_2.started,image_2.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
20:24,,,,,,,,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
16:20,None,3,snake.jpg,Animal,ArrowRight.png,None,None,0,3,3,4,0,0,0,0,,,,,,,,,,,53.201077700126916,None,2,0.3235319999512285,52.81730110011995,None,52.81730110011995,None,52.81730110011995,None,,,,,,,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
16:20,None,1,tiger.jpg,Animal,ArrowLeft.png,None,None,0,3,3,4,0,1,1,2,,,,,,,,,,,54.56859829998575,None,2,0.22404789994470775,54.275953900069,None,54.275953900069,None,54.275953900069,None,,,,,,,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
16:20,None,2,tapir.jpg,Animal,ArrowUp.png,None,None,0,3,3,4,0,2,2,1,,,,,,,,,,,55.86901480006054,None,2,0.22890969994477928,55.60114340018481,None,55.60114340018481,None,55.60114340018481,None,,,,,,,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
16:20,None,3,turtle.jpg,Animal,ArrowRight.png,None,None,0,3,3,4,0,3,3,3,,,,,,,,,,,57.119725099997595,None,2,0.2035169000737369,56.88498610001989,None,56.88498610001989,None,56.88498610001989,None,,,,,,,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
16:20,None,3,turtle.jpg,Animal,ArrowRight.png,None,None,0,3,3,4,,,,,0,0,0,3,,,,,,,58.50419130013324,None,,,,,,,,,2,0.2368051998782903,58.21982880006544,None,58.21982880006544,None,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
16:20,None,1,tiger.jpg,Animal,ArrowLeft.png,None,None,0,3,3,4,,,,,0,1,1,2,,,,,,,59.75215469999239,None,,,,,,,,,2,0.20307569997385144,59.506642300169915,None,59.506642300169915,None,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
16:20,None,3,snake.jpg,Animal,ArrowRight.png,None,None,0,3,3,4,,,,,0,2,2,0,,,,,,,61.00519010005519,None,,,,,,,,,2,0.22975519997999072,60.756384500069544,None,60.756384500069544,None,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
16:20,None,2,tapir.jpg,Animal,ArrowUp.png,None,None,0,3,3,4,,,,,0,3,3,1,,,,,,,62.27236509998329,None,,,,,,,,,2,0.24057739996351302,62.00687380018644,None,62.00687380018644,None,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
16:20,,,,,,,,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
