corrAns,StimFile,ImgType,ArrowImg,ImgOrientation,Direction,Scrambled,old,Condition_rows,Condition_rows_practice,ScrambledTrials_1.thisRepN,ScrambledTrials_1.thisTrialN,ScrambledTrials_1.thisN,ScrambledTrials_1.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Cued.thisRepN,Cued.thisTrialN,Cued.thisN,Cued.thisIndex,Uncued.thisRepN,Uncued.thisTrialN,Uncued.thisN,Uncued.thisIndex,ScrambledTrials_2.thisRepN,ScrambledTrials_2.thisTrialN,ScrambledTrials_2.thisN,ScrambledTrials_2.thisIndex,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,polygon_2.started,polygon_2.stopped,Scrambled_img.started,Scrambled_img.stopped,Arrow1.started,Arrow1.stopped,text_3.started,text_3.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.started,key_resp_1.stopped,image.started,image.stopped,Arrow.started,Arrow.stopped,Congruency,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_2.started,image_2.stopped,direction_options.started,direction_options.stopped,text_4.started,text_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,Images/lynx.jpg,Animal,ArrowLeft.png,,neutral,,,12:16,None,,,,,0,2,2,3,0,3,3,1,,,,,,,,,,,,,,,,,,,,,1,1.7332648903152403,398.67050962190365,None,398.67050962190365,None,398.67050962190365,None,Neutral,,,,,,,,,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
,Images/lynx.jpg,Animal,ArrowLeft.png,,neutral,,,12:16,None,,,,,0,2,2,3,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,1,2.0043916137068436,404.671308417025,None,404.671308417025,None,404.671308417025,None,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
,Images/rhino.jpg,Animal,ArrowRight.png,,neutral,,,12:16,None,,,,,0,2,2,3,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,3,0.7504052624293536,410.6381645776004,None,410.6381645776004,None,410.6381645776004,None,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
,Images/platypus.jpg,Animal,ArrowLeft.png,,neutral,,,12:16,None,,,,,0,2,2,3,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,1,1.359378628887498,416.6541076367629,None,416.6541076367629,None,416.6541076367629,None,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
,Images/lioness.jpg,Animal,ArrowRight.png,,neutral,,,12:16,None,,,,,0,2,2,3,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,3,0.8449824288532,422.65038080592683,None,422.65038080592683,None,422.65038080592683,None,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
,,,,,,,,12:16,None,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
,Images/sofa.jpg,Furniture,ArrowUp.png,,ArrowUp.png,,,44:48,None,,,,,0,3,3,11,0,0,0,1,,,,,,,,,,,,,,,,,,,,,2,1.3103805830617148,428.6828947584495,None,428.6828947584495,None,428.6828947584495,None,Congruent,,,,,,,,,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
,Images/table.jpg,Furniture,ArrowUp.png,,ArrowUp.png,,,44:48,None,,,,,0,3,3,11,0,1,1,3,,,,,,,,,,,,,,,,,,,,,2,1.3469439342009082,434.67021403251954,None,434.67021403251954,None,434.67021403251954,None,Congruent,,,,,,,,,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
,Images/stool.jpg,Furniture,ArrowRight.png,,ArrowUp.png,,,44:48,None,,,,,0,3,3,11,0,2,2,2,,,,,,,,,,,,,,,,,,,,,3,1.2990722364152134,440.6689618830452,None,440.6689618830452,None,440.6689618830452,None,Incongruent_perpendicular,,,,,,,,,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
,Images/rocking_chair.jpg,Furniture,ArrowUp.png,,ArrowUp.png,,,44:48,None,,,,,0,3,3,11,0,3,3,0,,,,,,,,,,,,,,,,,,,,,2,1.7221002329525845,446.66985451606627,None,446.66985451606627,None,446.66985451606627,None,Congruent,,,,,,,,,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
,Images/sofa.jpg,Furniture,ArrowUp.png,,ArrowUp.png,,,44:48,None,,,,,0,3,3,11,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,Congruent,2,1.4789885212788931,452.66983047010444,None,452.66983047010444,None,452.66983047010444,None,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
,Images/table.jpg,Furniture,ArrowUp.png,,ArrowUp.png,,,44:48,None,,,,,0,3,3,11,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,Congruent,2,1.0469192431035026,458.6367819347968,None,458.6367819347968,None,458.6367819347968,None,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
