Task,corrAns,StimFile,Name,Proffession,Letter1,Letter2,Letter3,NotSeen,Encoding_Name.thisRepN,Encoding_Name.thisTrialN,Encoding_Name.thisN,Encoding_Name.thisIndex,Encoding_Profession.thisRepN,Encoding_Profession.thisTrialN,Encoding_Profession.thisN,Encoding_Profession.thisIndex,Recall_Name.thisRepN,Recall_Name.thisTrialN,Recall_Name.thisN,Recall_Name.thisIndex,Recall_Proffession.thisRepN,Recall_Proffession.thisTrialN,Recall_Proffession.thisN,Recall_Proffession.thisIndex,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_9.started,text_9.stopped,polygon_7.started,polygon_7.stopped,Jitter,key_resp_4.keys,key_resp_4.started,key_resp_4.stopped,image_3.started,image_3.stopped,text_8.started,text_8.stopped,text_10.started,text_10.stopped,polygon_8.started,polygon_8.stopped,text_6.started,text_6.stopped,polygon_5.started,polygon_5.stopped,key_resp_1.keys,key_resp_1.started,key_resp_1.stopped,image.started,image.stopped,text_4.started,text_4.stopped,text_7.started,text_7.stopped,polygon_6.started,polygon_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
encoding_proffession,3,Images_Faces/SH35.png,0,Kock,L.,V.,K.,,,,,,0,9,9,4,,,,,,,,,,,,,,,,,5.5,None,298.7804329999999,None,298.7804329999999,None,298.7804329999999,None,,,,,,,,,,,,,,,,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
encoding_proffession,1,Images_Faces/SH32.png,0,Skattehandläggare,S.,M.,H.,,,,,,0,10,10,1,,,,,,,,,,,,,,,,,4.75,None,308.28964570000244,None,308.28964570000244,None,308.28964570000244,None,,,,,,,,,,,,,,,,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
encoding_proffession,3,Images_Faces/SH31.png,0,Fastighetsskötare,E.,M.,F.,,,,,,0,11,11,0,,,,,,,,,,,,,,,,,7.75,None,317.03949660000217,None,317.03949660000217,None,317.03949660000217,None,,,,,,,,,,,,,,,,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
encoding_proffession,1,Images_Faces/SH39.png,0,Rektor,R.,H.,M.,,,,,,0,12,12,8,,,,,,,,,,,,,,,,,3.25,None,328.8061768999978,None,328.8061768999978,None,328.8061768999978,None,,,,,,,,,,,,,,,,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
encoding_proffession,1,Images_Faces/SH40.png,0,Proffessor,P.,J.,N.,,,,,,0,13,13,9,,,,,,,,,,,,,,,,,3.5,None,336.07204980000097,None,336.07204980000097,None,336.07204980000097,None,,,,,,,,,,,,,,,,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
encoding_proffession,3,Images_Faces/SH43.png,0,Arbetsledare,L.,K.,A.,,,,,,0,14,14,12,,,,,,,,,,,,,,,,,4.0,None,343.5894640999977,None,343.5894640999977,None,343.5894640999977,None,,,,,,,,,,,,,,,,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
recall_names,1,Images_Faces/O6.jpg,Mikael,0,M.,C.,G.,NY,,,,,,,,,0,0,0,5,,,,,,,,,,,,,4.5,,,,,,,,,,,,351.5964148999992,356.59955920000357,356.5879330000025,None,None,358.6558655999979,None,358.6558655999979,None,358.6558655999979,None,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
recall_names,3,Images_Faces/O2.jpg,Erik,0,R.,O.,E.,NY,,,,,,,,,0,1,1,1,,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,None,367.11394070000097,None,367.11394070000097,None,367.11394070000097,None,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
recall_names,2,Images_Faces/O4.jpg,Anders,0,R.,A.,P.,NY,,,,,,,,,0,2,2,3,,,,,,,,,,,,,8.5,,,,,,,,,,,,,,,,None,377.6314369000029,None,377.6314369000029,None,377.6314369000029,None,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
recall_names,2,Images_Faces/O1.jpg,Karl,0,F.,K.,L.,NY,,,,,,,,,0,3,3,0,,,,,,,,,,,,,4.75,,,,,,,,,,,,,,,,None,390.1397591999994,None,390.1397591999994,None,390.1397591999994,None,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
recall_names,2,Images_Faces/O10.jpg,Jan,0,E.,J.,P.,NY,,,,,,,,,0,4,4,9,,,,,,,,,,,,,9.5,,,,,,,,,,,,,,,,None,398.89802939999936,None,398.89802939999936,None,398.89802939999936,None,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
recall_names,1,Images_Faces/O11.jpg,Gustav,0,G.,M.,S.,NY,,,,,,,,,0,5,5,10,,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,None,412.41510410000046,None,412.41510410000046,None,412.41510410000046,None,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
recall_names,2,Images_Faces/O13.jpg,Peter,0,J.,P.,K.,NY,,,,,,,,,0,6,6,12,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,None,422.9231198999987,None,422.9231198999987,None,422.9231198999987,None,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
recall_names,1,Images_Faces/O14.jpg,Lennart,0,L.,I.,P.,NY,,,,,,,,,0,7,7,13,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,None,434.9392172000007,None,434.9392172000007,None,434.9392172000007,None,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
recall_names,1,Images_Faces/O9.jpg,Nils,0,N.,V.,G.,NY,,,,,,,,,0,8,8,8,,,,,,,,,,,,,7.25,,,,,,,,,,,,,,,,None,442.2067160000006,None,442.2067160000006,None,442.2067160000006,None,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
recall_names,1,Images_Faces/O15.jpg,Fredrik,0,F.,P.,A.,NY,,,,,,,,,0,9,9,14,,,,,,,,,,,,,8.25,,,,,,,,,,,,,,,,None,453.46487689999776,None,453.46487689999776,None,453.46487689999776,None,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
recall_names,3,Images_Faces/O12.jpg,Hans,0,F.,M.,H.,NY,,,,,,,,,0,10,10,11,,,,,,,,,,,,,5.25,,,,,,,,,,,,,,,,None,465.73173959999986,None,465.73173959999986,None,465.73173959999986,None,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
recall_names,3,Images_Faces/O5.jpg,Per,0,A.,B.,P.,NY,,,,,,,,,0,11,11,4,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,None,474.9903484000024,None,474.9903484000024,None,474.9903484000024,None,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
recall_names,2,Images_Faces/O3.jpg,Lars,0,P.,L.,K.,NY,,,,,,,,,0,12,12,2,,,,,,,,,,,,,5.25,,,,,,,,,,,,,,,,None,486.998268299998,None,486.998268299998,None,486.998268299998,None,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
recall_names,2,Images_Faces/O8.jpg,Olof,0,P.,O.,V.,NY,,,,,,,,,0,13,13,7,,,,,,,,,,,,,5.25,,,,,,,,,,,,,,,,None,496.25642979999975,None,496.25642979999975,None,496.25642979999975,None,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
recall_names,1,Images_Faces/O7.jpg,Johan,0,J.,L.,R.,NY,,,,,,,,,0,14,14,6,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,None,505.5316380000004,None,505.5316380000004,None,505.5316380000004,None,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
recall_proffessions,2,Images_Faces/SH5.png,0,Konstnär,W.,K.,O.,NY,,,,,,,,,,,,,0,0,0,4,,,,,,,,,4.75,,,,,,,,,,,,,,,,None,522.0816464000018,None,522.0816464000018,None,522.0816464000018,None,515.0386721000032,520.0415771999978,520.0303093000039,None,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
recall_proffessions,1,Images_Faces/SH14.png,0,Snickare,S.,M.,T.,NY,,,,,,,,,,,,,0,1,1,13,,,,,,,,,9.0,,,,,,,,,,,,,,,,None,530.8070197999987,None,530.8070197999987,None,530.8070197999987,None,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
