4.0361 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
211.1664 	EXP 	Circle: autoDraw = False
213.8855 	EXP 	New trial (rep=0, index=17): {'Task': 'recall_names', 'corrAns': 2, 'StimFile': 'Images_Faces/O4.jpg', 'Name': 'Anders', 'Proffession': 0, 'Letter1': 'R.', 'Letter2': 'A.', 'Letter3': 'P.'}
213.9178 	EXP 	polygon_4: autoDraw = False
213.9178 	EXP 	polygon_4: autoDraw = False
213.9178 	EXP 	Circle: autoDraw = False
213.9178 	EXP 	image: image = 'Images_Faces/O4.jpg'
213.9178 	EXP 	text_4: text = 'R.\t\t\t\t\t\tA.\t\t\t\t\t\tP.'
213.9178 	EXP 	image: autoDraw = True
213.9178 	EXP 	text_4: autoDraw = True
217.9687 	EXP 	image: autoDraw = False
217.9687 	EXP 	text_4: autoDraw = False
217.9687 	EXP 	Circle: image = 'Circle.png'
217.9687 	EXP 	polygon_4: autoDraw = True
221.2720 	EXP 	Circle: autoDraw = True
222.3396 	EXP 	Circle: autoDraw = False
225.7370 	EXP 	New trial (rep=0, index=18): {'Task': 'recall_names', 'corrAns': 3, 'StimFile': 'Images_Faces/O22.jpg', 'Name': 'Bo', 'Proffession': 0, 'Letter1': 'H.', 'Letter2': 'B.', 'Letter3': 'B.'}
225.7737 	EXP 	polygon_4: autoDraw = False
225.7737 	EXP 	polygon_4: autoDraw = False
225.7737 	EXP 	Circle: autoDraw = False
225.7737 	EXP 	image: image = 'Images_Faces/O22.jpg'
225.7737 	EXP 	text_4: text = 'H.\t\t\t\t\t\tB.\t\t\t\t\t\tB.'
225.7737 	EXP 	image: autoDraw = True
225.7737 	EXP 	text_4: autoDraw = True
229.8193 	EXP 	image: autoDraw = False
229.8193 	EXP 	text_4: autoDraw = False
229.8193 	EXP 	Circle: image = 'Circle.png'
229.8193 	EXP 	polygon_4: autoDraw = True
233.9242 	EXP 	Circle: autoDraw = True
234.9976 	EXP 	Circle: autoDraw = False
239.0860 	EXP 	New trial (rep=0, index=19): {'Task': 'recall_names', 'corrAns': 3, 'StimFile': 'Images_Faces/O24.jpg', 'Name': 'Göran', 'Proffession': 0, 'Letter1': 'B.', 'Letter2': 'U.', 'Letter3': 'G.'}
