TrialRows_Name,TrialRows_Proffession,Task,corrAns,StimFile,Name,Proffession,Letter1,Letter2,Letter3,Name_trials.thisRepN,Name_trials.thisTrialN,Name_trials.thisN,Name_trials.thisIndex,Encoding_Name.thisRepN,Encoding_Name.thisTrialN,Encoding_Name.thisN,Encoding_Name.thisIndex,ImmediateRecall_Name.thisRepN,ImmediateRecall_Name.thisTrialN,ImmediateRecall_Name.thisN,ImmediateRecall_Name.thisIndex,Proffession_trials.thisRepN,Proffession_trials.thisTrialN,Proffession_trials.thisN,Proffession_trials.thisIndex,Encoding_Proffession.thisRepN,Encoding_Proffession.thisTrialN,Encoding_Proffession.thisN,Encoding_Proffession.thisIndex,ImmediateRecall_Proffession.thisRepN,ImmediateRecall_Proffession.thisTrialN,ImmediateRecall_Proffession.thisN,ImmediateRecall_Proffession.thisIndex,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_8.started,text_8.stopped,polygon_5.started,polygon_5.stopped,Jitter,key_resp_1.keys,key_resp_1.started,key_resp_1.stopped,image.started,image.stopped,text_4.started,text_4.stopped,polygon_6.started,polygon_6.stopped,key_resp_ImmediateRecall.keys,key_resp_ImmediateRecall.started,key_resp_ImmediateRecall.stopped,image_3.started,image_3.stopped,text_6.started,text_6.stopped,Circle.started,Circle.stopped,key_resp_Circle.keys,key_resp_Circle.started,key_resp_Circle.stopped,key_resp_ImmediateRecall.rt,key_resp_Circle.rt,key_resp_1.rt,text_9.started,text_9.stopped,polygon_4.started,polygon_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
18:24,48:54,encoding_name,2,Images_Faces/O50.jpg,Patrik,0,C.,P.,B.,0,1,1,3,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,254.20583869999973,None,254.20583869999973,None,254.20583869999973,None,261.30725730000995,262.32432890002383,None,261.30725730000995,262.32432890002383,,,,,,,,,001,2022_Oct_24_1816,FacesNamesProffessions_Encoding,2021.2.3,None,
18:24,48:54,encoding_name,2,Images_Faces/O51.jpg,Ingemar,0,T,I.,M.,0,1,1,3,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,265.47500700003,None,265.47500700003,None,265.47500700003,None,272.5807291000383,273.58116130001144,None,272.5807291000383,273.58116130001144,,,,,,,,,001,2022_Oct_24_1816,FacesNamesProffessions_Encoding,2021.2.3,None,
18:24,48:54,encoding_name,3,Images_Faces/O53.jpg,Christoffer,0,S.,H.,C.,0,1,1,3,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,276.7505945999874,None,276.7505945999874,None,276.7505945999874,None,283.852460300026,284.86804380000103,None,283.852460300026,284.86804380000103,,,,,,,,,001,2022_Oct_24_1816,FacesNamesProffessions_Encoding,2021.2.3,None,
18:24,48:54,encoding_name,3,Images_Faces/O54.jpg,Rickard,0,R.,J.,R.,0,1,1,3,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,288.02060869999696,None,288.02060869999696,None,288.02060869999696,None,295.1228497000411,296.1230348999961,None,295.1228497000411,296.1230348999961,,,,,,,,,001,2022_Oct_24_1816,FacesNamesProffessions_Encoding,2021.2.3,None,
18:24,48:54,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Oct_24_1816,FacesNamesProffessions_Encoding,2021.2.3,None,
12:18,42:48,encoding_name,3,Images_Faces/O43.jpg,David,0,B.,H.,D.,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,3.25,None,299.30895660002716,None,299.30895660002716,None,299.30895660002716,None,303.29148429998895,None,,,,,,,,,,,,,,,,,,,,,001,2022_Oct_24_1816,FacesNamesProffessions_Encoding,2021.2.3,None,
12:18,42:48,encoding_name,2,Images_Faces/O47.jpg,Niklas,0,R.,N.,E.,0,2,2,2,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,3.5,None,306.56324470002437,None,306.56324470002437,None,306.56324470002437,None,310.5438623999944,None,,,,,,,,,,,,,,,,,,,,,001,2022_Oct_24_1816,FacesNamesProffessions_Encoding,2021.2.3,None,
12:18,42:48,encoding_name,2,Images_Faces/O46.jpg,Emil,0,E.,E.,R.,0,2,2,2,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,8.75,None,314.0663002000074,None,314.0663002000074,None,314.0663002000074,None,318.0644883000059,None,,,,,,,,,,,,,,,,,,,,,001,2022_Oct_24_1816,FacesNamesProffessions_Encoding,2021.2.3,None,
12:18,42:48,encoding_name,2,Images_Faces/O45.jpg,Marcus,0,T.,M.,B.,0,2,2,2,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,4.0,None,326.8388288000133,None,326.8388288000133,None,326.8388288000133,None,330.8366105000023,None,,,,,,,,,,,,,,,,,,,,,001,2022_Oct_24_1816,FacesNamesProffessions_Encoding,2021.2.3,None,
12:18,42:48,encoding_name,2,Images_Faces/O48.jpg,Bertil,0,S.,B.,A.,0,2,2,2,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,3.75,None,334.8638187000179,None,334.8638187000179,None,334.8638187000179,None,338.8571790000424,None,,,,,,,,,,,,,,,,,,,,,001,2022_Oct_24_1816,FacesNamesProffessions_Encoding,2021.2.3,None,
